member,archive,archive_url,crs,min_x,min_y,max_x,max_y
3dm_33_387_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,387000,5822000,388000,5823000
3dm_33_387_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,387000,5823000,388000,5824000
3dm_33_387_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,387000,5824000,388000,5825000
3dm_33_387_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,387000,5825000,388000,5826000
3dm_33_388_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5816000,389000,5817000
3dm_33_388_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5817000,389000,5818000
3dm_33_388_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5818000,389000,5819000
3dm_33_388_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5819000,389000,5820000
3dm_33_388_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5820000,389000,5821000
3dm_33_388_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5821000,389000,5822000
3dm_33_388_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5822000,389000,5823000
3dm_33_388_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5823000,389000,5824000
3dm_33_388_5824_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5824000,389000,5825000
3dm_33_388_5825_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,388000,5825000,389000,5826000
3dm_33_389_5816_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5816000,390000,5817000
3dm_33_389_5817_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5817000,390000,5818000
3dm_33_389_5818_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5818000,390000,5819000
3dm_33_389_5819_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5819000,390000,5820000
3dm_33_389_5820_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5820000,390000,5821000
3dm_33_389_5821_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5821000,390000,5822000
3dm_33_389_5822_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5822000,390000,5823000
3dm_33_389_5823_1_be.las,Mitte.zip,https://gdi.berlin.de/data/a_als/atom/Mitte.zip,EPSG:25833,389000,5823000,390000,5824000
