task_id	hash	name	tag	status	exit	attempt	realtime	duration	%cpu	peak_rss	peak_vmem	rchar	wchar
105	6e/424260	OSM_TO_SHAPES (grid_25832_34_343)	grid_25832_34_343	COMPLETED	0	1	341ms	1.1s	100.7%	15.7 MB	176.9 MB	39.9 MB	14 MB
20	7f/e5a9da	OSM_EXTRACT (chunk_00017)	chunk_00017	COMPLETED	0	1	13.7s	14.7s	386.0%	13.6 GB	15.9 GB	2.4 GB	14.6 MB
103	a1/a245c3	OSM_TO_SHAPES (grid_25832_31_345)	grid_25832_31_345	COMPLETED	0	1	3.2s	4.6s	101.5%	243.9 MB	9.6 GB	634.7 MB	248.2 MB
106	7f/54c6db	OSM_TO_SHAPES (grid_25832_34_344)	grid_25832_34_344	COMPLETED	0	1	2.1s	3s	102.2%	16.2 MB	176.9 MB	405 MB	157.1 MB
29	a2/1538f3	OSM_EXTRACT (chunk_00026)	chunk_00026	COMPLETED	0	1	12.3s	14.3s	421.6%	11.8 GB	14.3 GB	2.4 GB	11.2 MB
108	b0/dcfa28	OSM_TO_SHAPES (grid_25832_34_346)	grid_25832_34_346	COMPLETED	0	1	2.4s	3.3s	101.4%	239.9 MB	9.6 GB	385.8 MB	162.8 MB
24	4a/3ae039	OSM_EXTRACT (chunk_00021)	chunk_00021	COMPLETED	0	1	13.1s	16s	404.1%	13.6 GB	16 GB	2.4 GB	15.7 MB
19	98/c1e476	OSM_EXTRACT (chunk_00016)	chunk_00016	COMPLETED	0	1	14.5s	17.6s	379.2%	13.9 GB	16.3 GB	2.4 GB	19.3 MB
26	c8/22d6b5	OSM_EXTRACT (chunk_00023)	chunk_00023	COMPLETED	0	1	14s	17.4s	385.6%	13.6 GB	15.9 GB	2.4 GB	15 MB
32	a5/817c6d	OSM_EXTRACT (chunk_00029)	chunk_00029	COMPLETED	0	1	14.1s	17.8s	388.7%	14.2 GB	16.6 GB	2.4 GB	20 MB
23	cb/6ba549	OSM_EXTRACT (chunk_00020)	chunk_00020	COMPLETED	0	1	13.9s	19.6s	392.4%	13.3 GB	15.7 GB	2.4 GB	15.7 MB
27	23/86a40b	OSM_EXTRACT (chunk_00024)	chunk_00024	COMPLETED	0	1	14.6s	17.9s	374.1%	13.1 GB	15.5 GB	2.4 GB	16.5 MB
107	0e/80793f	OSM_TO_SHAPES (grid_25832_34_345)	grid_25832_34_345	COMPLETED	0	1	3s	5.2s	101.6%	242.4 MB	9.6 GB	925.3 MB	311.3 MB
111	3f/ab431b	OSM_TO_SHAPES (grid_25832_32_344)	grid_25832_32_344	COMPLETED	0	1	2.5s	5s	101.1%	238.7 MB	9.6 GB	498.4 MB	207.8 MB
110	bf/8f2669	OSM_TO_SHAPES (grid_25832_32_343)	grid_25832_32_343	COMPLETED	0	1	1.2s	2s	100.4%	15.9 MB	176.9 MB	208.3 MB	86.8 MB
109	df/65cbbd	OSM_TO_SHAPES (grid_25832_31_347)	grid_25832_31_347	COMPLETED	0	1	307ms	1.3s	98.3%	15.6 MB	176.9 MB	27.3 MB	11.3 MB
112	27/ccbb9a	OSM_TO_SHAPES (grid_25832_32_345)	grid_25832_32_345	COMPLETED	0	1	3.4s	5s	101.2%	245.4 MB	9.6 GB	547.2 MB	244.8 MB
113	95/7d5da9	OSM_TO_SHAPES (grid_25832_36_327)	grid_25832_36_327	COMPLETED	0	1	479ms	1.4s	100.8%	16 MB	176.9 MB	33.8 MB	15 MB
116	94/819860	OSM_TO_SHAPES (grid_25832_36_330)	grid_25832_36_330	COMPLETED	0	1	1.5s	2.5s	101.6%	15.9 MB	176.9 MB	174.5 MB	83.8 MB
37	b2/5c199a	OSM_EXTRACT (chunk_00034)	chunk_00034	COMPLETED	0	1	14.1s	15.4s	378.5%	13.8 GB	16.2 GB	2.4 GB	15.2 MB
114	d2/7fd8c4	OSM_TO_SHAPES (grid_25832_36_328)	grid_25832_36_328	COMPLETED	0	1	1.4s	2.5s	100.4%	16 MB	176.9 MB	138.7 MB	68.5 MB
18	e0/c25e64	OSM_EXTRACT (chunk_00015)	chunk_00015	COMPLETED	0	1	13.2s	14.6s	396.9%	12.7 GB	15.1 GB	2.4 GB	13.9 MB
115	e8/4757f4	OSM_TO_SHAPES (grid_25832_36_329)	grid_25832_36_329	COMPLETED	0	1	2.5s	4.4s	102.3%	250.7 MB	9.6 GB	299.7 MB	143.5 MB
117	e1/f8ad50	OSM_TO_SHAPES (grid_25832_35_346)	grid_25832_35_346	COMPLETED	0	1	2s	3.3s	101.7%	15.8 MB	176.9 MB	279.5 MB	137.8 MB
